day:   2/1/2007,nextDay:   3/1/2007,prevDay:   1/1/2007,nextMonth:   2/2/2007,prevMonth:  2/12/2006,nextYear:   2/1/2008,prevYear:   2/1/2006
day:   3/1/2007,nextDay:   4/1/2007,prevDay:   2/1/2007,nextMonth:   3/2/2007,prevMonth:  3/12/2006,nextYear:   3/1/2008,prevYear:   3/1/2006
day:   4/1/2007,nextDay:   5/1/2007,prevDay:   3/1/2007,nextMonth:   4/2/2007,prevMonth:  4/12/2006,nextYear:   4/1/2008,prevYear:   4/1/2006
day:   5/1/2007,nextDay:   6/1/2007,prevDay:   4/1/2007,nextMonth:   5/2/2007,prevMonth:  5/12/2006,nextYear:   5/1/2008,prevYear:   5/1/2006
day:   6/1/2007,nextDay:   7/1/2007,prevDay:   5/1/2007,nextMonth:   6/2/2007,prevMonth:  6/12/2006,nextYear:   6/1/2008,prevYear:   6/1/2006
day:   7/1/2007,nextDay:   8/1/2007,prevDay:   6/1/2007,nextMonth:   7/2/2007,prevMonth:  7/12/2006,nextYear:   7/1/2008,prevYear:   7/1/2006
day:   8/1/2007,nextDay:   9/1/2007,prevDay:   7/1/2007,nextMonth:   8/2/2007,prevMonth:  8/12/2006,nextYear:   8/1/2008,prevYear:   8/1/2006
day:   9/1/2007,nextDay:  10/1/2007,prevDay:   8/1/2007,nextMonth:   9/2/2007,prevMonth:  9/12/2006,nextYear:   9/1/2008,prevYear:   9/1/2006
day:  10/1/2007,nextDay:  11/1/2007,prevDay:   9/1/2007,nextMonth:  10/2/2007,prevMonth: 10/12/2006,nextYear:  10/1/2008,prevYear:  10/1/2006
day:  11/1/2007,nextDay:  12/1/2007,prevDay:  10/1/2007,nextMonth:  11/2/2007,prevMonth: 11/12/2006,nextYear:  11/1/2008,prevYear:  11/1/2006
day:  12/1/2007,nextDay:  13/1/2007,prevDay:  11/1/2007,nextMonth:  12/2/2007,prevMonth: 12/12/2006,nextYear:  12/1/2008,prevYear:  12/1/2006
day:  13/1/2007,nextDay:  14/1/2007,prevDay:  12/1/2007,nextMonth:  13/2/2007,prevMonth: 13/12/2006,nextYear:  13/1/2008,prevYear:  13/1/2006
day:  14/1/2007,nextDay:  15/1/2007,prevDay:  13/1/2007,nextMonth:  14/2/2007,prevMonth: 14/12/2006,nextYear:  14/1/2008,prevYear:  14/1/2006
day:  15/1/2007,nextDay:  16/1/2007,prevDay:  14/1/2007,nextMonth:  15/2/2007,prevMonth: 15/12/2006,nextYear:  15/1/2008,prevYear:  15/1/2006
day:  16/1/2007,nextDay:  17/1/2007,prevDay:  15/1/2007,nextMonth:  16/2/2007,prevMonth: 16/12/2006,nextYear:  16/1/2008,prevYear:  16/1/2006
day:  17/1/2007,nextDay:  18/1/2007,prevDay:  16/1/2007,nextMonth:  17/2/2007,prevMonth: 17/12/2006,nextYear:  17/1/2008,prevYear:  17/1/2006
day:  18/1/2007,nextDay:  19/1/2007,prevDay:  17/1/2007,nextMonth:  18/2/2007,prevMonth: 18/12/2006,nextYear:  18/1/2008,prevYear:  18/1/2006
day:  19/1/2007,nextDay:  20/1/2007,prevDay:  18/1/2007,nextMonth:  19/2/2007,prevMonth: 19/12/2006,nextYear:  19/1/2008,prevYear:  19/1/2006
day:  20/1/2007,nextDay:  21/1/2007,prevDay:  19/1/2007,nextMonth:  20/2/2007,prevMonth: 20/12/2006,nextYear:  20/1/2008,prevYear:  20/1/2006
day:  21/1/2007,nextDay:  22/1/2007,prevDay:  20/1/2007,nextMonth:  21/2/2007,prevMonth: 21/12/2006,nextYear:  21/1/2008,prevYear:  21/1/2006
day:  22/1/2007,nextDay:  23/1/2007,prevDay:  21/1/2007,nextMonth:  22/2/2007,prevMonth: 22/12/2006,nextYear:  22/1/2008,prevYear:  22/1/2006
day:  23/1/2007,nextDay:  24/1/2007,prevDay:  22/1/2007,nextMonth:  23/2/2007,prevMonth: 23/12/2006,nextYear:  23/1/2008,prevYear:  23/1/2006
day:  24/1/2007,nextDay:  25/1/2007,prevDay:  23/1/2007,nextMonth:  24/2/2007,prevMonth: 24/12/2006,nextYear:  24/1/2008,prevYear:  24/1/2006
day:  25/1/2007,nextDay:  26/1/2007,prevDay:  24/1/2007,nextMonth:  25/2/2007,prevMonth: 25/12/2006,nextYear:  25/1/2008,prevYear:  25/1/2006
day:  26/1/2007,nextDay:  27/1/2007,prevDay:  25/1/2007,nextMonth:  26/2/2007,prevMonth: 26/12/2006,nextYear:  26/1/2008,prevYear:  26/1/2006
day:  27/1/2007,nextDay:  28/1/2007,prevDay:  26/1/2007,nextMonth:  27/2/2007,prevMonth: 27/12/2006,nextYear:  27/1/2008,prevYear:  27/1/2006
day:  28/1/2007,nextDay:  29/1/2007,prevDay:  27/1/2007,nextMonth:  28/2/2007,prevMonth: 28/12/2006,nextYear:  28/1/2008,prevYear:  28/1/2006
day:  29/1/2007,nextDay:  30/1/2007,prevDay:  28/1/2007,nextMonth:  28/2/2007,prevMonth: 29/12/2006,nextYear:  29/1/2008,prevYear:  29/1/2006
day:  30/1/2007,nextDay:  31/1/2007,prevDay:  29/1/2007,nextMonth:  28/2/2007,prevMonth: 30/12/2006,nextYear:  30/1/2008,prevYear:  30/1/2006
day:  31/1/2007,nextDay:   1/2/2007,prevDay:  30/1/2007,nextMonth:  28/2/2007,prevMonth: 31/12/2006,nextYear:  31/1/2008,prevYear:  31/1/2006
day:   1/2/2007,nextDay:   2/2/2007,prevDay:  31/1/2007,nextMonth:   1/3/2007,prevMonth:   1/1/2007,nextYear:   1/2/2008,prevYear:   1/2/2006
day:   2/2/2007,nextDay:   3/2/2007,prevDay:   1/2/2007,nextMonth:   2/3/2007,prevMonth:   2/1/2007,nextYear:   2/2/2008,prevYear:   2/2/2006
day:   3/2/2007,nextDay:   4/2/2007,prevDay:   2/2/2007,nextMonth:   3/3/2007,prevMonth:   3/1/2007,nextYear:   3/2/2008,prevYear:   3/2/2006
day:   4/2/2007,nextDay:   5/2/2007,prevDay:   3/2/2007,nextMonth:   4/3/2007,prevMonth:   4/1/2007,nextYear:   4/2/2008,prevYear:   4/2/2006
day:   5/2/2007,nextDay:   6/2/2007,prevDay:   4/2/2007,nextMonth:   5/3/2007,prevMonth:   5/1/2007,nextYear:   5/2/2008,prevYear:   5/2/2006
